Fac Building Key,Building Number,Parent Building Number,Parent Building Name,Parent Building Name Long,Building Name Long,Ext Gross Area,Assignable Area,Non Assignable Area,Site,Campus Sector,Access Level Code,Access Level Name,Building Type,Ownership Type,Building Use,Occupancy Class,Building Height,Cost Center Code,Cost Collector Key,Latitude Wgs,Longitude Wgs,Easting X Spcs,Northing Y Spcs,Building Sort,Building Named For,Building Name,Date Built,Date Acquired,Date Occupied,Warehouse Load Date,Num Of Rooms
W7,W7,"","","",Everett Moore Baker House,"133,099.42","77,423.81","41,632.04",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,76.40,1345300,1345300,42.3567,-71.09579,"765,418.63265","2,955,268.6408",W07,EVERETT MOORE BAKER,BAKER HOUSE,10/01/1947,"",12/31/1949,01/08/16 05:13 AM,497
W20,W20,"","","",Julius Adams Stratton Student Center,"183,162","116,165.53","55,856.44",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGA3M,75.00,1832000,1832000,42.35904,-71.09477,"765,689.59945","2,956,124.35288",W20,JULIUS ADAMS STRATTON,STRATTON STUDENT CENTER,09/01/1963,"",10/01/1965,01/08/16 05:13 AM,428
W61F,W61F,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing F),"12,611.59","8,364.37","1,783.51",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61F,-,MACGREGOR HOUSE (F),"","","",01/08/16 05:13 AM,103
W56,W56,"","","",Building W56,"2,835","2,463.75",92.98,MIT,WEST,2.00,2,SERVICE,OWNED,OTH,(NULL),0.00,"","","","","","",W56,-,BUILDING W56,06/18/2012,"","",01/08/16 05:13 AM,16
W70G,W70G,W70,NEW HOUSE,New West Campus Houses,New West Campus Houses (Wing G),"3,670.03","1,441.36","1,972.51",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W70G,-,NEW HOUSE (G),"","","",01/08/16 05:13 AM,14
W98,W98,"","","",600 Memorial Drive,"82,480.74","47,859.73","24,859.8",MIT,WEST,2.00,2,ACADEMIC,OWNED,AER,(NULL),91.00,1839800,1839800,42.35396,-71.10665,"762,489.85176","2,954,255.53273",W98,-,BUILDING W98,"",06/30/2008,"",01/08/16 05:13 AM,532
W89,W89,"","","",MIT Police,"14,909.35","7,684","4,956.87",MIT,WEST,0.00,0,SERVICE,OWNED,AER,UGB,27.90,1838900,1838900,42.35554,-71.10467,"763,020.16356","2,954,834.93537",W89,-,MIT POLICE,12/31/1948,01/19/2001,03/08/2006,01/08/16 05:13 AM,81
13,13,"","","",Vannevar Bush Building,"183,168.57","96,632.08","71,677.19",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,69.10,1811300,1811300,42.35994,-71.09255,"766,288.88214","2,956,455.72553",13,VANNEVAR BUSH,BUSH BUILDING,04/01/1963,"",06/01/1965,01/08/16 05:13 AM,573
16,16,"","","",Dorrance Building,"116,213.91","57,877.47","46,857.95",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,122.90,1811600,1811600,42.36043,-71.09059,"766,817.4179","2,956,637.16251",16,JOHN THOMPSON DORRANCE,DORRANCE BUILDING,11/01/1950,"",06/01/1952,01/08/16 05:13 AM,370
18,18,"","","",Camille Edouard Dreyfus Building,"133,732.1","75,600.39","41,247.92",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,82.50,1811800,1811800,42.36007,-71.08982,"767,026.5576","2,956,505.13722",18,CAMILLE EDOUARD DREYFUS,DREYFUS BUILDING,05/01/1967,"",12/15/1969,01/08/16 05:13 AM,519
24,24,"","","",Building 24,"77,685.93","49,904.03","21,022.23",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,84.10,1812400,1812400,42.36067,-71.09201,"766,432.72732","2,956,719.76371",24,-,BUILDING 24,12/31/1941,"",12/31/1941,01/08/16 05:13 AM,310
35,35,"","","",Sloan Laboratory,"68,012.32","41,662.46","18,804.23",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,80.30,1813500,1813500,42.36038,-71.09403,"765,889.03725","2,956,613.19165",35,ALFRED P. SLOAN JR.,SLOAN LABORATORY,08/01/1950,"",06/01/1952,01/08/16 05:13 AM,243
42,42,"","","",William R. Dickson Cogeneration Plant,"79,050.49","4,380","67,876.13",MIT,MAIN GROUP,0.00,0,SERVICE,OWNED,OTH,UGF1,64.80,1814200,1814200,42.36111,-71.09352,"766,026.05419","2,956,877.97742",42,-,COGENERATION PLANT,12/31/1915,"",12/31/1916,01/08/16 05:13 AM,80
56,56,"","","",Uncas A Whitaker Building,"143,681.84","78,115.52","50,275.36",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,118.80,1815600,1815600,42.3607,-71.08986,"767,014.32081","2,956,734.58779",56,UNCAS A. & HELEN F. WHITAKER,WHITAKER BUILDING,09/01/1963,"",04/01/1965,01/08/16 05:13 AM,459
57,57,"","","",MIT Alumni Pool,"39,121.04","22,725.98","10,516.52",MIT,MAIN GROUP,2.00,2,SERVICE,OWNED,STAC,UGA3,41.10,1815700,1815700,42.36114,-71.09014,"766,938.54517","2,956,895.581",57,-,MIT ALUMNI POOL,07/01/1939,"",05/01/1940,01/08/16 05:13 AM,52
48,48,"","","",Ralph M Parsons Laboratory For Water Resources & Hydrodynamics,"57,227.15","38,547.18","11,260.64",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,64.00,1814800,1814800,42.36243,-71.09067,"766,794.3374","2,957,365.07423",48,RALPH M. PARSONS,PARSONS LABORATORY,12/31/1949,"",12/31/1951,01/08/16 05:13 AM,157
51,51,"","","",Walter C Wood Sailing Pavilion,"5,889.33","4,450.4",909.69,MIT,MAIN GROUP,2.00,2,SERVICE,OWNED,STAC,UGA3,21.30,1815100,1815100,42.35852,-71.08773,"767,594.41678","2,955,942.02996",51,WALTER C. WOOD,WOOD SAILING PAVILION,12/31/1936,"",12/31/1937,01/08/16 05:13 AM,24
NE47,NE47,"","","",500 Technology Square,"74,098.19","63,702.43","2,118.35",MIT,NORTHEAST,2.00,2,ACADEMIC,LEASED,AER,(NULL),148.00,1854500,1854500,42.36346,-71.09258,"766,274.78568","2,957,738.70843",NE47,-,500 TECHNOLOGY SQUARE,"","","",01/08/16 05:13 AM,263
NE49,NE49,"","","",600 Technology Square,"71,648.86","66,681.39",349.28,MIT,NORTHEAST,2.00,2,SERVICE,LEASED,AER,(NULL),84.90,1854900,1854900,42.36339,-71.09312,"766,129.53298","2,957,710.84277",NE49,-,600 TECHNOLOGY SQUARE,"","","",01/08/16 05:13 AM,463
N10,N10,"","","",High Voltage Research Laboratory,"10,084.86","8,107.66",631.93,MIT,NORTH,1.00,1,ACADEMIC,OWNED,AER,UGB,33.00,1851000,1851000,42.36086,-71.09545,"765,503.66082","2,956,787.05655",N10,-,HIGH VOLTAGE RESEARCH LAB,07/01/1964,"",02/01/1965,01/08/16 05:13 AM,53
N51,N51,"","","",Building N51,"44,980.93","32,644.6","8,418.18",MIT,NORTH,2.00,2,ACADEMIC,OWNED,AER,UGBA3,50.90,1855100,1855100,42.36228,-71.09763,"764,912.91509","2,957,302.16119",N51,-,BUILDING N51,12/31/1924,04/16/1982,01/01/1964,01/08/16 05:13 AM,128
N9,N9,"","","",Superconducting Generator Test Facility,"5,882.04","5,345.16",160.86,MIT,NORTH,1.00,1,ACADEMIC,OWNED,AER,UGB,32.70,1850900,1850900,42.36095,-71.09519,"765,573.01373","2,956,820.15089",N09,-,SUPERCONDUCTING TEST FACILITY,"","",12/31/1978,01/08/16 05:13 AM,15
NE18,NE18,"","","",255 Main Street,"33,044.91","29,070.51",260.02,MIT,NORTHEAST,2.00,2,ACADEMIC,LEASED,AER,UGB,194.70,1861800,1861800,42.36265,-71.08517,"768,278.21793","2,957,450.51043",NE18,-,255 MAIN STREET,"","",04/01/2001,01/08/16 05:13 AM,196
NW16,NW16,"","","",Plasma Science And Fusion Center (NW16),"50,148.39","31,346.41","14,440.37",MIT,NORTHWEST,2.00,2,ACADEMIC,OWNED,AER,UGB,34.00,1841600,1841600,42.36003,-71.09872,"764,622.8361","2,956,479.98399",NW16,-,PLASMA SCIENCE & FUSION CENTER (NW16),06/01/1980,04/01/1966,05/01/1981,01/08/16 05:13 AM,171
NW35,NW35,"","","",Ashdown House,"252,835.49","157,640.89","58,073.35",MIT,NORTHWEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,60.00,1345770,1345770,42.3588,-71.10144,"763,888.73286","2,956,026.74738",NW35,-,ASHDOWN HOUSE,01/01/2008,"",07/01/2008,01/08/16 05:13 AM,568
NW61,NW61,"","","",Random Hall,"39,469.53","25,567.13","7,590.42",MIT,NORTHWEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,48.30,1347400,1347400,42.36184,-71.09829,"764,735.81396","2,957,141.02766",NW61,-,RANDOM HALL,12/30/1899,"",12/31/1968,01/08/16 05:13 AM,185
NW86,NW86,"","","",70 Pacific Street Dormitory,"362,686.82","251,368.74","63,800.8",MIT,NORTHWEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,106.40,1348300,1348300,42.35972,-71.10222,"763,676.49545","2,956,361.96176",NW86,-,70 PACIFIC STREET DORMITORY,02/01/2001,"",08/01/2002,01/08/16 05:13 AM,710
OC19J,OC19J,"","","",BATES LINAC: Gas Bottle/Tank Storage,400.94,348.95,0,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,"","","","",OC19J,-,BATES LINAC: GAS BOTTLE/TANK STORAGE,"","","",01/08/16 05:13 AM,2
OC40,OC40,"","","",MASS GREEN HIGH PERFORMANCE COMPUTING CENTER,"1,469.02","1,469.03",0,HOLYOKE,OFFCAMPUS,3.00,3,SERVICE,LEASED,AER,(NULL),0.00,"","","","","","",OC40,-,MASS GREEN HIGH PERFORMANCE COMPUTING CENTER,03/21/2014,"",11/01/2012,01/08/16 05:13 AM,4
W35,W35,"","","",Zesiger Sports & Fitness Center,"122,080.04","76,299.23","36,416.07",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGA1A3BH,65.70,1833500,1833500,42.35872,-71.09575,"765,426.41104","2,956,004.01869",W35,ALBERT & BARRIE ZESIGER,SPORTS & FITNESS CENTER,10/01/2000,"",09/01/2002,01/08/16 05:13 AM,219
W53A,W53A,"","","",J B Carr Indoor Tennis Facility (Office),"1,159.47",694.95,259.08,MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGB,12.40,"","",42.35698,-71.09735,"764,996.70269","2,955,368.71583",W53A,JASPER B. CARR,CARR INDOOR TENNIS FACILITY (OFFICE),10/01/1984,"",05/01/1985,01/08/16 05:13 AM,10
W57A,W57A,"","","",Building W57A,117,91.07,0,MIT,WEST,3.00,3,SERVICE,OWNED,OTH,UGA1,0.00,"","","","","","",W57A,-,BUILDING W57A,03/21/2014,"","",01/08/16 05:13 AM,1
W64,W64,"","","",Building W64,"13,367.83","9,321.57","2,817.74",MIT,WEST,2.00,2,SERVICE,OWNED,OTH,(NULL),0.00,"","","","","","",W64,David. H. Koch,BUILDING W64,09/02/2013,"",10/01/2013,01/08/16 05:13 AM,62
W70C,W70C,W70,NEW HOUSE,New West Campus Houses,New West Campus Houses (Wing C),"17,991.16","11,582.66","4,275.18",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W70C,-,NEW HOUSE (C),"","","",01/08/16 05:13 AM,101
W70E,W70E,W70,NEW HOUSE,New West Campus Houses,New West Campus Houses (Wing E),"17,792.83","11,318.81","4,366.68",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W70E,-,NEW HOUSE (E),"","","",01/08/16 05:13 AM,104
WW25,WW25,"","","",Building WW25,"2,300.01","2,300",0,MIT,WESTWEST,2.00,2,SERVICE,LEASED,OTH,UGS1,"","","",42.35574,-71.10633,"762,572.95558","2,954,905.50793",WW25,-,BUILDING WW25,"","","",01/08/16 05:13 AM,2
5,5,"","","",Pratt School Of Naval Architecture And Marine Engineering,"80,942.35","55,175.35","16,513.26",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,70.70,1810500,1810500,42.35871,-71.09292,"766,190.50562","2,956,005.14991",05,CHARLES HERBERT PRATT,PRATT SCHOOL,12/01/1919,"",12/31/1920,01/08/16 05:13 AM,271
9,9,"","","",Samuel Tak Lee Building,"75,800.06","36,377.74","29,421.17",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,83.90,1810900,1810900,42.35975,-71.09356,"766,016.18442","2,956,383.74995",09,Samuel Tak Lee,SAMUEL TAK LEE BUILDING,04/01/1966,"",12/01/1967,01/08/16 05:13 AM,312
14W,14W,14,HAYDEN MEMORIAL LIBRARY,Charles Hayden Memorial Library,Charles Hayden Memorial Library (West Wing),"5,013.14","2,850.15","1,777.63",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),"","","","","","","",14W,CHARLES HAYDEN,HAYDEN MEMORIAL LIBRARY (W),05/21/2015,"","",01/08/16 05:13 AM,16
62H,62H,62,ALUMNI HOUSES: MUNROE HAYDEN WOOD,Alumni Houses: Munroe Hayden Wood,Alumni Houses: Hayden,"26,411.82","16,932.94","6,760.5",MIT,MAIN GROUP,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"",1346200,1346200,"","","","",62H,HENRY R. HAYDEN,ALUMNI HOUSES: HAYDEN,"","","",01/08/16 05:13 AM,117
E2,E2,"","","",Senior House,"64,847.33","35,966.75","18,560.3",MIT,EAST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,63.70,1346000,1346000,42.35996,-71.08687,"767,825.21787","2,956,467.41243",E02,"WARE, ATKINSON,RUNKLE,CRAFTS,NICHOLS,HOLMAN",SENIOR HOUSE,07/01/1913,"",07/01/1916,01/08/16 05:13 AM,314
E15,E15,"","","",Wiesner Building,"120,331.42","79,388.35","31,947.68",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGA3B,68.50,1821500,1821500,42.36084,-71.08763,"767,616.12841","2,956,788.11385",E15,JEROME BERT WIESNER,WIESNER BUILDING,01/01/1982,"",09/01/1984,01/08/16 05:13 AM,462
E40,E40,"","","",The Muckley Building,"106,714.57","71,240.6","24,575.99",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGB,64.50,1824000,1824000,42.36116,-71.08485,"768,367.39925","2,956,910.10656",E40,DWIGHT S. MUCKLEY,MUCKLEY BUILDING,05/01/1930,06/01/1968,12/31/1969,01/08/16 05:13 AM,537
NW10,NW10,"","","",Edgerton House,"132,529.78","82,366.87","31,273.3",MIT,NORTHWEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,56.50,1347800,1347800,42.36032,-71.09814,"764,778.56585","2,956,585.69329",NW10,DR. HAROLD E. EDGERTON,EDGERTON HOUSE,12/31/1922,"","",01/08/16 05:13 AM,250
EE20,EE20,"","","",Building EE20,"31,093.51","28,091.01",424.97,MIT,EASTEAST,3.00,3,ACADEMIC,LEASED,AER,UGB,0.00,"","","","","","",EE20,-,BUILDING EE20,03/21/2014,"","",01/08/16 05:13 AM,144
N52,N52,"","","",MIT Museum,"103,874.44","71,520.42","21,215.67",MIT,NORTH,2.00,2,ACADEMIC,OWNED,AER,UGA3B,56.80,1855200,1855200,42.36227,-71.09719,"765,031.70746","2,957,298.46033",N52,-,MIT MUSEUM,12/31/1924,04/16/1982,01/01/1964,01/08/16 05:13 AM,323
OC19B,OC19B,"","","",Bates LINAC: Research Bldg,"13,810.89","10,426.98","1,578.19",BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59903,-70.98045,"796,055.78876","3,043,749.15224",OC19B,-,BATES LINAC: RESEARCH BLDG,"","","",01/08/16 05:13 AM,45
OC19E,OC19E,"","","",BATES LINAC: Ring Service Building,"3,058.54","2,225.79",218.06,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59907,-70.979,"796,445.14395","3,043,766.62289",OC19E,-,BATES LINAC: RING SERVICE BUILDING,"","","",01/08/16 05:13 AM,7
W31,W31,"","","",David Flett du Pont Athletic Gymnasium,"71,443.5","53,401.65","9,744.51",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGA3B,52.60,1833100,1833100,42.35964,-71.09517,"765,582.19012","2,956,340.80705",W31,DAVID FLETT DUPONT,DU PONT ATHLETIC GYMNASIUM,12/31/1902,09/01/1957,09/01/1957,01/08/16 05:13 AM,146
W61C,W61C,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing C),"12,634.2","7,792.1","2,728.18",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61C,-,MACGREGOR HOUSE (C),"","","",01/08/16 05:13 AM,91
W61E,W61E,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing E),"11,664.6","6,716.63","2,614.09",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61E,-,MACGREGOR HOUSE (E),"","","",01/08/16 05:13 AM,88
W51C,W51C,"","","",405 Memorial Drive - Pi Phi,"17,286.8","10,707.53","3,946.3",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","",42.35619,-71.09724,"765,027.6508","2,955,080.48747",W51C,-,405 MEMORIAL DRIVE,"","","",01/08/16 05:13 AM,85
W61A,W61A,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing A),"12,634.2","7,793.07","2,848.45",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61A,-,MACGREGOR HOUSE (A),"","","",01/08/16 05:13 AM,91
W79,W79,"","","",Simmons Hall,"191,189.7","94,044.5","68,008.19",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,100.60,1347600,1347600,42.35711,-71.10152,"763,869.57443","2,955,411.05508",W79,RICHARD P. SIMMONS '53,SIMMONS HALL,12/01/2000,"",08/20/2002,01/08/16 05:13 AM,910
W70A,W70A,W70,NEW HOUSE,New West Campus Houses,New West Campus Houses (Wing A),"24,005.53","12,993.85","8,551.16",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W70A,-,NEW HOUSE (A),"","","",01/08/16 05:13 AM,104
W85,W85,"","","",Westgate  Married Student Housing,"115,603.99","84,270.83","25,211.66",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,167.30,1348000,1348000,42.355,-71.10326,"763,403.67751","2,954,639.62487",W85,-,WESTGATE,01/01/1962,"",08/01/1963,01/08/16 05:13 AM,327
W85E,W85E,W85DE,WESTGATE (DE),Westgate DE,Westgate E Married Student Housing,"4,653.21","3,704.69",449.76,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85E,-,WESTGATE (E),"","","",01/08/16 05:13 AM,10
WW15,WW15,"","","",Building WW15,"42,145.75","37,495.92","2,824.04",MIT,WESTWEST,2.00,2,SERVICE,OWNED,AER,UGS2,16.00,1846500,1846500,42.35536,-71.10947,"761,724.03371","2,954,764.37927",WW15,-,BUILDING WW15,12/31/1969,"","",01/08/16 05:13 AM,108
W85ABC,W85ABC,"","","",Westgate ABC,"13,983.54","11,133.38","1,362.34",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,30.60,1348000,1348000,42.35498,-71.1039,"763,229.88142","2,954,632.97828",W85ABC,-,WESTGATE (ABC),01/01/1962,"",08/01/1963,01/08/16 05:13 AM,0
