Country or Area ID, Country or Area, Year, Series Description, Date of Last Election, Footnote for Last Election Date, Percentage of Seats Held by Women, Additional Footnotes, Data Source
266,Gabon,2022,"Seats held by women in national parliament, as of February (%)",2018-10,,15.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
270,Gambia,2000,"Seats held by women in national parliament, as of February (%)",2017-04,,2.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
270,Gambia,2005,"Seats held by women in national parliament, as of February (%)",2017-04,,13.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
270,Gambia,2010,"Seats held by women in national parliament, as of February (%)",2017-04,,7.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
270,Gambia,2015,"Seats held by women in national parliament, as of February (%)",2017-04,,9.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
270,Gambia,2018,"Seats held by women in national parliament, as of February (%)",2017-04,,10.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
270,Gambia,2019,"Seats held by women in national parliament, as of February (%)",2017-04,,10.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
270,Gambia,2020,"Seats held by women in national parliament, as of February (%)",2017-04,,8.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
270,Gambia,2021,"Seats held by women in national parliament, as of February (%)",2017-04,,8.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
270,Gambia,2022,"Seats held by women in national parliament, as of February (%)",2017-04,,10.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
268,Georgia,2000,"Seats held by women in national parliament, as of February (%)",2020-10,,7.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
268,Georgia,2005,"Seats held by women in national parliament, as of February (%)",2020-10,,9.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
268,Georgia,2010,"Seats held by women in national parliament, as of February (%)",2020-10,,5.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
268,Georgia,2015,"Seats held by women in national parliament, as of February (%)",2020-10,,11.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
268,Georgia,2018,"Seats held by women in national parliament, as of February (%)",2020-10,,16.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
268,Georgia,2019,"Seats held by women in national parliament, as of February (%)",2020-10,,14.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
268,Georgia,2020,"Seats held by women in national parliament, as of February (%)",2020-10,,14.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
268,Georgia,2021,"Seats held by women in national parliament, as of February (%)",2020-10,,20.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
268,Georgia,2022,"Seats held by women in national parliament, as of February (%)",2020-10,,19.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
276,Germany,2000,"Seats held by women in national parliament, as of February (%)",2021-09,,30.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
276,Germany,2005,"Seats held by women in national parliament, as of February (%)",2021-09,,32.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
276,Germany,2010,"Seats held by women in national parliament, as of February (%)",2021-09,,32.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
276,Germany,2015,"Seats held by women in national parliament, as of February (%)",2021-09,,36.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
276,Germany,2018,"Seats held by women in national parliament, as of February (%)",2021-09,,30.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
276,Germany,2019,"Seats held by women in national parliament, as of February (%)",2021-09,,30.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
276,Germany,2020,"Seats held by women in national parliament, as of February (%)",2021-09,,31.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
276,Germany,2021,"Seats held by women in national parliament, as of February (%)",2021-09,,31.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
276,Germany,2022,"Seats held by women in national parliament, as of February (%)",2021-09,,34.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
288,Ghana,2000,"Seats held by women in national parliament, as of February (%)",2020-12,,9.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
288,Ghana,2005,"Seats held by women in national parliament, as of February (%)",2020-12,,10.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
288,Ghana,2010,"Seats held by women in national parliament, as of February (%)",2020-12,,8.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
288,Ghana,2015,"Seats held by women in national parliament, as of February (%)",2020-12,,10.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
288,Ghana,2018,"Seats held by women in national parliament, as of February (%)",2020-12,,12.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
288,Ghana,2019,"Seats held by women in national parliament, as of February (%)",2020-12,,13.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
288,Ghana,2020,"Seats held by women in national parliament, as of February (%)",2020-12,,13.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
288,Ghana,2021,"Seats held by women in national parliament, as of February (%)",2020-12,,14.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
288,Ghana,2022,"Seats held by women in national parliament, as of February (%)",2020-12,,14.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
300,Greece,2000,"Seats held by women in national parliament, as of February (%)",2019-07,,6.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
300,Greece,2005,"Seats held by women in national parliament, as of February (%)",2019-07,,14.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
300,Greece,2010,"Seats held by women in national parliament, as of February (%)",2019-07,,17.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
300,Greece,2015,"Seats held by women in national parliament, as of February (%)",2019-07,,23.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
300,Greece,2018,"Seats held by women in national parliament, as of February (%)",2019-07,,18.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
300,Greece,2019,"Seats held by women in national parliament, as of February (%)",2019-07,,18.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
300,Greece,2020,"Seats held by women in national parliament, as of February (%)",2019-07,,20.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
300,Greece,2021,"Seats held by women in national parliament, as of February (%)",2019-07,,21.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
300,Greece,2022,"Seats held by women in national parliament, as of February (%)",2019-07,,21.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
308,Grenada,2000,"Seats held by women in national parliament, as of February (%)",2018-03,,26.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
308,Grenada,2005,"Seats held by women in national parliament, as of February (%)",2018-03,,26.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
308,Grenada,2010,"Seats held by women in national parliament, as of February (%)",2018-03,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
308,Grenada,2015,"Seats held by women in national parliament, as of February (%)",2018-03,,33.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
308,Grenada,2018,"Seats held by women in national parliament, as of February (%)",2018-03,,33.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
308,Grenada,2019,"Seats held by women in national parliament, as of February (%)",2018-03,,46.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
308,Grenada,2020,"Seats held by women in national parliament, as of February (%)",2018-03,,46.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
308,Grenada,2021,"Seats held by women in national parliament, as of February (%)",2018-03,,46.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
308,Grenada,2022,"Seats held by women in national parliament, as of February (%)",2018-03,,46.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
320,Guatemala,2000,"Seats held by women in national parliament, as of February (%)",2019-06,,7.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
320,Guatemala,2005,"Seats held by women in national parliament, as of February (%)",2019-06,,8.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
320,Guatemala,2010,"Seats held by women in national parliament, as of February (%)",2019-06,,12.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
320,Guatemala,2015,"Seats held by women in national parliament, as of February (%)",2019-06,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
320,Guatemala,2018,"Seats held by women in national parliament, as of February (%)",2019-06,,12.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
320,Guatemala,2019,"Seats held by women in national parliament, as of February (%)",2019-06,,19.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
320,Guatemala,2020,"Seats held by women in national parliament, as of February (%)",2019-06,,19.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
320,Guatemala,2021,"Seats held by women in national parliament, as of February (%)",2019-06,,19.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
320,Guatemala,2022,"Seats held by women in national parliament, as of February (%)",2019-06,,19.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
324,Guinea,2000,"Seats held by women in national parliament, as of February (%)",2020-03,,8.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
324,Guinea,2005,"Seats held by women in national parliament, as of February (%)",2020-03,,19.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
324,Guinea,2015,"Seats held by women in national parliament, as of February (%)",2020-03,,21.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
324,Guinea,2018,"Seats held by women in national parliament, as of February (%)",2020-03,,21.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
324,Guinea,2019,"Seats held by women in national parliament, as of February (%)",2020-03,,22.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
324,Guinea,2020,"Seats held by women in national parliament, as of February (%)",2020-03,,22.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
324,Guinea,2021,"Seats held by women in national parliament, as of February (%)",2020-03,,16.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
624,Guinea-Bissau,2000,"Seats held by women in national parliament, as of February (%)",2019-03,,7.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
624,Guinea-Bissau,2005,"Seats held by women in national parliament, as of February (%)",2019-03,,14.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
624,Guinea-Bissau,2010,"Seats held by women in national parliament, as of February (%)",2019-03,,10.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
624,Guinea-Bissau,2015,"Seats held by women in national parliament, as of February (%)",2019-03,,13.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
624,Guinea-Bissau,2018,"Seats held by women in national parliament, as of February (%)",2019-03,,13.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
624,Guinea-Bissau,2019,"Seats held by women in national parliament, as of February (%)",2019-03,,13.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
624,Guinea-Bissau,2020,"Seats held by women in national parliament, as of February (%)",2019-03,,13.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
624,Guinea-Bissau,2021,"Seats held by women in national parliament, as of February (%)",2019-03,,13.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
624,Guinea-Bissau,2022,"Seats held by women in national parliament, as of February (%)",2019-03,,13.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
328,Guyana,2000,"Seats held by women in national parliament, as of February (%)",2020-03,,18.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
328,Guyana,2005,"Seats held by women in national parliament, as of February (%)",2020-03,,30.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
328,Guyana,2010,"Seats held by women in national parliament, as of February (%)",2020-03,,30.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
328,Guyana,2015,"Seats held by women in national parliament, as of February (%)",2020-03,,31.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
328,Guyana,2018,"Seats held by women in national parliament, as of February (%)",2020-03,,31.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
328,Guyana,2019,"Seats held by women in national parliament, as of February (%)",2020-03,,31.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
328,Guyana,2020,"Seats held by women in national parliament, as of February (%)",2020-03,,34.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
328,Guyana,2021,"Seats held by women in national parliament, as of February (%)",2020-03,,35.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
328,Guyana,2022,"Seats held by women in national parliament, as of February (%)",2020-03,,35.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
332,Haiti,2000,"Seats held by women in national parliament, as of February (%)",2015-10,,3.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
332,Haiti,2005,"Seats held by women in national parliament, as of February (%)",2015-10,,3.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
332,Haiti,2010,"Seats held by women in national parliament, as of February (%)",2015-10,,4.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
332,Haiti,2015,"Seats held by women in national parliament, as of February (%)",2015-10,,4.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
332,Haiti,2018,"Seats held by women in national parliament, as of February (%)",2015-10,,2.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
332,Haiti,2019,"Seats held by women in national parliament, as of February (%)",2015-10,,2.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
332,Haiti,2020,"Seats held by women in national parliament, as of February (%)",2015-10,,2.5,Data are as at 1 January of reporting year.;The term of all members in the 119-member Chamber of Deputies and 20 of 30 senators expired on 13 January 2020. There are currently only 10 sitting senators.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
340,Honduras,2000,"Seats held by women in national parliament, as of February (%)",2021-11,,9.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
340,Honduras,2005,"Seats held by women in national parliament, as of February (%)",2021-11,,5.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
340,Honduras,2010,"Seats held by women in national parliament, as of February (%)",2021-11,,18.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
340,Honduras,2015,"Seats held by women in national parliament, as of February (%)",2021-11,,25.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
340,Honduras,2018,"Seats held by women in national parliament, as of February (%)",2021-11,,21.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
340,Honduras,2019,"Seats held by women in national parliament, as of February (%)",2021-11,,21.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
340,Honduras,2020,"Seats held by women in national parliament, as of February (%)",2021-11,,21.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
340,Honduras,2021,"Seats held by women in national parliament, as of February (%)",2021-11,,21.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
340,Honduras,2022,"Seats held by women in national parliament, as of February (%)",2021-11,,27.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
348,Hungary,2000,"Seats held by women in national parliament, as of February (%)",2018-04,,8.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
348,Hungary,2005,"Seats held by women in national parliament, as of February (%)",2018-04,,9.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
348,Hungary,2010,"Seats held by women in national parliament, as of February (%)",2018-04,,11.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
348,Hungary,2015,"Seats held by women in national parliament, as of February (%)",2018-04,,10.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
348,Hungary,2018,"Seats held by women in national parliament, as of February (%)",2018-04,,10.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
348,Hungary,2019,"Seats held by women in national parliament, as of February (%)",2018-04,,12.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
348,Hungary,2020,"Seats held by women in national parliament, as of February (%)",2018-04,,12.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
348,Hungary,2021,"Seats held by women in national parliament, as of February (%)",2018-04,,12.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
348,Hungary,2022,"Seats held by women in national parliament, as of February (%)",2018-04,,13.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
352,Iceland,2000,"Seats held by women in national parliament, as of February (%)",2021-09,,34.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
352,Iceland,2005,"Seats held by women in national parliament, as of February (%)",2021-09,,30.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
352,Iceland,2010,"Seats held by women in national parliament, as of February (%)",2021-09,,42.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
352,Iceland,2015,"Seats held by women in national parliament, as of February (%)",2021-09,,41.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
352,Iceland,2018,"Seats held by women in national parliament, as of February (%)",2021-09,,38.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
352,Iceland,2019,"Seats held by women in national parliament, as of February (%)",2021-09,,38.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
352,Iceland,2020,"Seats held by women in national parliament, as of February (%)",2021-09,,38.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
352,Iceland,2021,"Seats held by women in national parliament, as of February (%)",2021-09,,39.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
352,Iceland,2022,"Seats held by women in national parliament, as of February (%)",2021-09,,47.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
356,India,2000,"Seats held by women in national parliament, as of February (%)",2019-04,,9.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
356,India,2005,"Seats held by women in national parliament, as of February (%)",2019-04,,8.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
356,India,2010,"Seats held by women in national parliament, as of February (%)",2019-04,,10.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
356,India,2015,"Seats held by women in national parliament, as of February (%)",2019-04,,12.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
356,India,2018,"Seats held by women in national parliament, as of February (%)",2019-04,,11.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
356,India,2019,"Seats held by women in national parliament, as of February (%)",2019-04,,12.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
356,India,2020,"Seats held by women in national parliament, as of February (%)",2019-04,,14.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
356,India,2021,"Seats held by women in national parliament, as of February (%)",2019-04,,14.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
356,India,2022,"Seats held by women in national parliament, as of February (%)",2019-04,,14.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
360,Indonesia,2000,"Seats held by women in national parliament, as of February (%)",2019-04,,8.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
360,Indonesia,2005,"Seats held by women in national parliament, as of February (%)",2019-04,,11.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
360,Indonesia,2010,"Seats held by women in national parliament, as of February (%)",2019-04,,18.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
360,Indonesia,2015,"Seats held by women in national parliament, as of February (%)",2019-04,,17.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
360,Indonesia,2018,"Seats held by women in national parliament, as of February (%)",2019-04,,19.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
360,Indonesia,2019,"Seats held by women in national parliament, as of February (%)",2019-04,,18.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
360,Indonesia,2020,"Seats held by women in national parliament, as of February (%)",2019-04,,20.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
360,Indonesia,2021,"Seats held by women in national parliament, as of February (%)",2019-04,,21.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
360,Indonesia,2022,"Seats held by women in national parliament, as of February (%)",2019-04,,21.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
364,Iran (Islamic Republic of),2000,"Seats held by women in national parliament, as of February (%)",2020-02,,4.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
364,Iran (Islamic Republic of),2005,"Seats held by women in national parliament, as of February (%)",2020-02,,4.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
364,Iran (Islamic Republic of),2010,"Seats held by women in national parliament, as of February (%)",2020-02,,2.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
364,Iran (Islamic Republic of),2015,"Seats held by women in national parliament, as of February (%)",2020-02,,3.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
364,Iran (Islamic Republic of),2018,"Seats held by women in national parliament, as of February (%)",2020-02,,5.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
364,Iran (Islamic Republic of),2019,"Seats held by women in national parliament, as of February (%)",2020-02,,5.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
